epoch,train/box_loss,train/cls_loss,train/dfl_loss,val/box_loss,val/cls_loss,val/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),lr/pg0,lr/pg1,lr/pg2
141,0.53456,0.43777,1.0327,0.33188,0.30432,0.87826,0.93543,0.90989,0.96252,0.91011,0.00307,0.00307,0.00307
142,0.52492,0.43287,1.02711,0.32939,0.30232,0.87574,0.93395,0.91477,0.96271,0.91058,0.0030205,0.0030205,0.0030205
143,0.53892,0.45005,1.03745,0.32824,0.30153,0.87517,0.93458,0.9139,0.96295,0.91101,0.002971,0.002971,0.002971
144,0.52433,0.44024,1.02771,0.32903,0.29919,0.87556,0.93516,0.91603,0.96329,0.91203,0.0029215,0.0029215,0.0029215
145,0.52825,0.43845,1.03187,0.33088,0.29806,0.87662,0.92551,0.92271,0.96386,0.91203,0.002872,0.002872,0.002872
146,0.52696,0.43675,1.03282,0.32972,0.29761,0.87513,0.92324,0.92497,0.96418,0.91225,0.0028225,0.0028225,0.0028225
147,0.52135,0.43071,1.02904,0.3298,0.29697,0.87526,0.92771,0.91955,0.96453,0.91324,0.002773,0.002773,0.002773
148,0.5223,0.43034,1.02868,0.33094,0.2957,0.87771,0.92983,0.91963,0.96443,0.91254,0.0027235,0.0027235,0.0027235
149,0.53215,0.43778,1.03281,0.32868,0.29597,0.87516,0.94299,0.90928,0.96471,0.91383,0.002674,0.002674,0.002674
150,0.52766,0.43678,1.02806,0.32789,0.29604,0.87459,0.93851,0.91226,0.9652,0.91362,0.0026245,0.0026245,0.0026245
151,0.52261,0.43383,1.02801,0.32671,0.29574,0.8734,0.93246,0.92032,0.96545,0.91341,0.002575,0.002575,0.002575
152,0.5128,0.42555,1.02368,0.32728,0.29581,0.8741,0.93199,0.92154,0.96538,0.91272,0.0025255,0.0025255,0.0025255
153,0.52141,0.4256,1.03055,0.328,0.29613,0.875,0.93149,0.91916,0.96553,0.91313,0.002476,0.002476,0.002476
